id,lead-project,grant-reference,title
540,,2928416,Ideological requirements for maps and their role in representing and producing Arctic space in the Soviet (1930-1980s) and contemporary Russia
541,,2918279,Improving Predictions of Future Arctic Sea Ice Loss Using Results from the CMIP7 Last Interglacial Experiment 'abrupt-lig127k '.
542,,2918254,Investigating the Arctic liquid and solid water budget
543,,10110067,Net-zero beyond-visual-line-of-sight (BLVOS) drones for oceans
544,,2927758,Power Performance and non-Arctic States: An Institutional Analysis of Japanese Stakeholder Engagement in Arctic Governance
545,,MR/Y016351/1,The View from the South: New approaches for understanding mechanisms and impacts of climate tipping points
546,,2923411,Where is the permafrost? High-resolution 3D imaging of permafrost and ground ice in the Canadian Arctic
547,,2929041,World cup in the Arctic? Sport adaptation to extreme heat in a warming world
548,,182,Soil to Sea: The fate of terrestrial permafrost carbon in aquatic systems
549,,NE/W00089X/2,Can megafauna shift the carbon and surface radiation budgets of the Arctic?
550,,10126333,Carbon sequestration in BLUe EcoSystems
551,,10121668,Carbon sequestration in BLUe EcoSystems
552,,10121708,Carbon sequestration in BLUe EcoSystems - C-BLUES
553,1,NE/Y000412/1,Functional ecology of the alpine cryptogamasphere in the face of change (CryptFunc)
554,,NE/Y000978/1,Functional ecology of the alpine cryptogamosphere in the face of change
555,,NE/W000989/1,"Identifying orbital- and sub-orbital-scale controls on the Asian summer monsoon: a 500,000 year hydroclimate record from Nam Co, Tibet [NamCore-UK]"
556,,2911735,Implications of Arctic heat waves and fires on vegetation and the carbon budget
557,,ES/Z000270/1,Inuit-Led Adaptation to the Breakdown of Arctic Sea Ice for Community Resilience and Travel Security
558,,2742590,"Modeling climate futures, impacts, response and adaptation options for Arctic communities"
559,,10090540,Polar Ocean Mitigation Potential
560,,10112793,Polar Ocean Mitigation Potential
561,,NE/X014819/1,Silicon CycLing IN Glaciated environments
562,,NE/X017605/1,Synergistic global change impacts on belowground biodiversity and carbon stocks in mountain ecosystems
563,,ES/Y010310/1,Teaching Good Relations in the Land of Plenty: I&ntilde;upiat and Non-I&ntilde;upiat on the North Slope of Alaska
564,,EP/Y015746/1,TRaNSMIT - A towable RF system for non-invasive sensing and measurement of Arctic sea ice thickness
565,1,NE/Y000021/1,TWISTA (The Wide-ranging Impacts of STratospheric smoke Aerosols)
566,,NE/Y000358/1,TWISTA (The Wide-ranging Impacts of STratospheric smoke Aerosols)
